{'id': 80027, 'Name': 'Broken Gearshard', 'hp': 90, 'mana': 70, 'endur': 0, 'ac': 20, 'damage': 0, 'aagi': 15, 'acha': 10, 'adex': 15, 'aint': 5, 'asta': 0, 'astr': 15, 'awis': 5, 'heroic_agi': 0, 'heroic_cha': 0, 'heroic_dex': 0, 'heroic_int': 0, 'heroic_sta': 0, 'heroic_str': 0, 'heroic_wis': 0, 'cr': 8, 'dr': 0, 'fr': 8, 'mr': 8, 'pr': 0, 'heroic_cr': 0, 'heroic_dr': 0, 'heroic_fr': 0, 'heroic_mr': 0, 'heroic_pr': 0, 'attack': 10, 'haste': 0, 'regen': 0, 'manaregen': 0, 'enduranceregen': 0, 'healamt': 0, 'spelldmg': 0, 'accuracy': 0, 'avoidance': 0, 'combateffects': '0', 'damageshield': 2, 'dotshielding': 0, 'shielding': 0, 'spellshield': 0, 'strikethrough': 0, 'stunresist': 0, 'delay': 0, 'proceffect': -1, 'focuseffect': -1, 'classes': 65535, 'slots': 1, 'itemtype': 52, 'norent': 1, 'clickeffect': -1, 'elemdmgtype': 0, 'elemdmgamt': 0, 'banedmgbody': 0, 'banedmgamt': 0, 'banedmgrace': 0, 'banedmgraceamt': 0, 'focus_spell_name': None, 'focus_min_val': None, 'focus_max_val': None}
{'id': 80028, 'Name': 'Lost Coin', 'hp': 70, 'mana': 90, 'endur': 0, 'ac': 10, 'damage': 0, 'aagi': 15, 'acha': 0, 'adex': 15, 'aint': 15, 'asta': 10, 'astr': 0, 'awis': 15, 'heroic_agi': 0, 'heroic_cha': 0, 'heroic_dex': 0, 'heroic_int': 0, 'heroic_sta': 0, 'heroic_str': 0, 'heroic_wis': 0, 'cr': 0, 'dr': 8, 'fr': 0, 'mr': 8, 'pr': 8, 'heroic_cr': 0, 'heroic_dr': 0, 'heroic_fr': 0, 'heroic_mr': 0, 'heroic_pr': 0, 'attack': 0, 'haste': 0, 'regen': 0, 'manaregen': 5, 'enduranceregen': 0, 'healamt': 0, 'spelldmg': 0, 'accuracy': 0, 'avoidance': 0, 'combateffects': '0', 'damageshield': 0, 'dotshielding': 0, 'shielding': 0, 'spellshield': 0, 'strikethrough': 0, 'stunresist': 0, 'delay': 0, 'proceffect': -1, 'focuseffect': -1, 'classes': 65535, 'slots': 1, 'itemtype': 52, 'norent': 1, 'clickeffect': -1, 'elemdmgtype': 0, 'elemdmgamt': 0, 'banedmgbody': 0, 'banedmgamt': 0, 'banedmgrace': 0, 'banedmgraceamt': 0, 'focus_spell_name': None, 'focus_min_val': None, 'focus_max_val': None}
{'id': 80029, 'Name': 'Locked Case', 'hp': 80, 'mana': 80, 'endur': 0, 'ac': 14, 'damage': 0, 'aagi': 5, 'acha': 15, 'adex': 5, 'aint': 15, 'asta': 15, 'astr': 5, 'awis': 15, 'heroic_agi': 0, 'heroic_cha': 0, 'heroic_dex': 0, 'heroic_int': 0, 'heroic_sta': 0, 'heroic_str': 0, 'heroic_wis': 0, 'cr': 5, 'dr': 5, 'fr': 5, 'mr': 5, 'pr': 5, 'heroic_cr': 0, 'heroic_dr': 0, 'heroic_fr': 0, 'heroic_mr': 0, 'heroic_pr': 0, 'attack': 0, 'haste': 0, 'regen': 5, 'manaregen': 0, 'enduranceregen': 0, 'healamt': 0, 'spelldmg': 0, 'accuracy': 0, 'avoidance': 0, 'combateffects': '0', 'damageshield': 0, 'dotshielding': 0, 'shielding': 0, 'spellshield': 0, 'strikethrough': 0, 'stunresist': 0, 'delay': 0, 'proceffect': -1, 'focuseffect': -1, 'classes': 65535, 'slots': 1, 'itemtype': 52, 'norent': 1, 'clickeffect': -1, 'elemdmgtype': 0, 'elemdmgamt': 0, 'banedmgbody': 0, 'banedmgamt': 0, 'banedmgrace': 0, 'banedmgraceamt': 0, 'focus_spell_name': None, 'focus_min_val': None, 'focus_max_val': None}
{'id': 80026, 'Name': 'Dusty Golden Statue', 'hp': 75, 'mana': 75, 'endur': 0, 'ac': 17, 'damage': 0, 'aagi': 5, 'acha': 10, 'adex': 5, 'aint': 5, 'asta': 20, 'astr': 10, 'awis': 5, 'heroic_agi': 0, 'heroic_cha': 0, 'heroic_dex': 0, 'heroic_int': 0, 'heroic_sta': 0, 'heroic_str': 0, 'heroic_wis': 0, 'cr': 10, 'dr': 10, 'fr': 10, 'mr': 10, 'pr': 10, 'heroic_cr': 0, 'heroic_dr': 0, 'heroic_fr': 0, 'heroic_mr': 0, 'heroic_pr': 0, 'attack': 0, 'haste': 0, 'regen': 3, 'manaregen': 3, 'enduranceregen': 0, 'healamt': 0, 'spelldmg': 0, 'accuracy': 0, 'avoidance': 0, 'combateffects': '0', 'damageshield': 0, 'dotshielding': 0, 'shielding': 0, 'spellshield': 0, 'strikethrough': 0, 'stunresist': 0, 'delay': 0, 'proceffect': -1, 'focuseffect': -1, 'classes': 65535, 'slots': 1, 'itemtype': 52, 'norent': 1, 'clickeffect': -1, 'elemdmgtype': 0, 'elemdmgamt': 0, 'banedmgbody': 0, 'banedmgamt': 0, 'banedmgrace': 0, 'banedmgraceamt': 0, 'focus_spell_name': None, 'focus_min_val': None, 'focus_max_val': None}
{'id': 15807, 'Name': 'Cloak of Lesser Pernicity', 'hp': 50, 'mana': 50, 'endur': 50, 'ac': 12, 'damage': 0, 'aagi': 0, 'acha': 25, 'adex': 0, 'aint': 0, 'asta': 10, 'astr': 25, 'awis': 0, 'heroic_agi': 0, 'heroic_cha': 0, 'heroic_dex': 0, 'heroic_int': 0, 'heroic_sta': 0, 'heroic_str': 0, 'heroic_wis': 0, 'cr': 0, 'dr': 0, 'fr': 0, 'mr': 0, 'pr': 0, 'heroic_cr': 0, 'heroic_dr': 0, 'heroic_fr': 0, 'heroic_mr': 0, 'heroic_pr': 0, 'attack': 0, 'haste': 0, 'regen': 0, 'manaregen': 0, 'enduranceregen': 0, 'healamt': 0, 'spelldmg': 0, 'accuracy': 0, 'avoidance': 0, 'combateffects': '0', 'damageshield': 0, 'dotshielding': 0, 'shielding': 0, 'spellshield': 0, 'strikethrough': 0, 'stunresist': 0, 'delay': 0, 'proceffect': -1, 'focuseffect': -1, 'classes': 65535, 'slots': 256, 'itemtype': 10, 'norent': 1, 'clickeffect': -1, 'elemdmgtype': 0, 'elemdmgamt': 0, 'banedmgbody': 0, 'banedmgamt': 0, 'banedmgrace': 0, 'banedmgraceamt': 0, 'focus_spell_name': None, 'focus_min_val': None, 'focus_max_val': None}
{'id': 2015807, 'Name': 'Apocryphal Cloak of Lesser Pernicity', 'hp': 100, 'mana': 100, 'endur': 50, 'ac': 24, 'damage': 0, 'aagi': 0, 'acha': 50, 'adex': 0, 'aint': 0, 'asta': 20, 'astr': 50, 'awis': 0, 'heroic_agi': 0, 'heroic_cha': 13, 'heroic_dex': 0, 'heroic_int': 0, 'heroic_sta': 5, 'heroic_str': 13, 'heroic_wis': 0, 'cr': 0, 'dr': 0, 'fr': 0, 'mr': 0, 'pr': 0, 'heroic_cr': 0, 'heroic_dr': 0, 'heroic_fr': 0, 'heroic_mr': 0, 'heroic_pr': 0, 'attack': 13, 'haste': 0, 'regen': 0, 'manaregen': 0, 'enduranceregen': 0, 'healamt': 0, 'spelldmg': 0, 'accuracy': 0, 'avoidance': 0, 'combateffects': '0', 'damageshield': 0, 'dotshielding': 0, 'shielding': 0, 'spellshield': 0, 'strikethrough': 0, 'stunresist': 0, 'delay': 0, 'proceffect': -1, 'focuseffect': -1, 'classes': 65535, 'slots': 256, 'itemtype': 10, 'norent': 1, 'clickeffect': -1, 'elemdmgtype': 0, 'elemdmgamt': 0, 'banedmgbody': 0, 'banedmgamt': 0, 'banedmgrace': 0, 'banedmgraceamt': 0, 'focus_spell_name': None, 'focus_min_val': None, 'focus_max_val': None}
{'id': 1015807, 'Name': 'Rose Colored Cloak of Lesser Pernicity', 'hp': 100, 'mana': 100, 'endur': 50, 'ac': 24, 'damage': 0, 'aagi': 0, 'acha': 50, 'adex': 0, 'aint': 0, 'asta': 20, 'astr': 50, 'awis': 0, 'heroic_agi': 0, 'heroic_cha': 0, 'heroic_dex': 0, 'heroic_int': 0, 'heroic_sta': 0, 'heroic_str': 0, 'heroic_wis': 0, 'cr': 0, 'dr': 0, 'fr': 0, 'mr': 0, 'pr': 0, 'heroic_cr': 0, 'heroic_dr': 0, 'heroic_fr': 0, 'heroic_mr': 0, 'heroic_pr': 0, 'attack': 6, 'haste': 0, 'regen': 0, 'manaregen': 0, 'enduranceregen': 0, 'healamt': 0, 'spelldmg': 0, 'accuracy': 0, 'avoidance': 0, 'combateffects': '0', 'damageshield': 0, 'dotshielding': 0, 'shielding': 0, 'spellshield': 0, 'strikethrough': 0, 'stunresist': 0, 'delay': 0, 'proceffect': -1, 'focuseffect': -1, 'classes': 65535, 'slots': 256, 'itemtype': 10, 'norent': 1, 'clickeffect': -1, 'elemdmgtype': 0, 'elemdmgamt': 0, 'banedmgbody': 0, 'banedmgamt': 0, 'banedmgrace': 0, 'banedmgraceamt': 0, 'focus_spell_name': None, 'focus_min_val': None, 'focus_max_val': None}
{'id': 2418, 'Name': 'Hoop of the Traveler', 'hp': 35, 'mana': 35, 'endur': 35, 'ac': 2, 'damage': 0, 'aagi': 0, 'acha': 0, 'adex': 0, 'aint': 5, 'asta': 5, 'astr': 0, 'awis': 5, 'heroic_agi': 0, 'heroic_cha': 0, 'heroic_dex': 0, 'heroic_int': 0, 'heroic_sta': 0, 'heroic_str': 0, 'heroic_wis': 0, 'cr': 0, 'dr': 0, 'fr': 0, 'mr': 0, 'pr': 0, 'heroic_cr': 0, 'heroic_dr': 0, 'heroic_fr': 0, 'heroic_mr': 0, 'heroic_pr': 0, 'attack': 0, 'haste': 0, 'regen': 0, 'manaregen': 0, 'enduranceregen': 0, 'healamt': 0, 'spelldmg': 0, 'accuracy': 0, 'avoidance': 0, 'combateffects': '0', 'damageshield': 0, 'dotshielding': 0, 'shielding': 0, 'spellshield': 0, 'strikethrough': 0, 'stunresist': 0, 'delay': 0, 'proceffect': -1, 'focuseffect': -1, 'classes': 65535, 'slots': 18, 'itemtype': 10, 'norent': 1, 'clickeffect': -1, 'elemdmgtype': 0, 'elemdmgamt': 0, 'banedmgbody': 0, 'banedmgamt': 0, 'banedmgrace': 0, 'banedmgraceamt': 0, 'focus_spell_name': None, 'focus_min_val': None, 'focus_max_val': None}
{'id': 2002418, 'Name': 'Apocryphal Hoop of the Traveler', 'hp': 70, 'mana': 70, 'endur': 35, 'ac': 4, 'damage': 0, 'aagi': 0, 'acha': 0, 'adex': 0, 'aint': 10, 'asta': 10, 'astr': 0, 'awis': 10, 'heroic_agi': 0, 'heroic_cha': 0, 'heroic_dex': 0, 'heroic_int': 3, 'heroic_sta': 3, 'heroic_str': 0, 'heroic_wis': 3, 'cr': 0, 'dr': 0, 'fr': 0, 'mr': 0, 'pr': 0, 'heroic_cr': 0, 'heroic_dr': 0, 'heroic_fr': 0, 'heroic_mr': 0, 'heroic_pr': 0, 'attack': 0, 'haste': 0, 'regen': 0, 'manaregen': 0, 'enduranceregen': 0, 'healamt': 10, 'spelldmg': 10, 'accuracy': 0, 'avoidance': 0, 'combateffects': '0', 'damageshield': 0, 'dotshielding': 0, 'shielding': 0, 'spellshield': 0, 'strikethrough': 0, 'stunresist': 0, 'delay': 0, 'proceffect': -1, 'focuseffect': -1, 'classes': 65535, 'slots': 18, 'itemtype': 10, 'norent': 1, 'clickeffect': -1, 'elemdmgtype': 0, 'elemdmgamt': 0, 'banedmgbody': 0, 'banedmgamt': 0, 'banedmgrace': 0, 'banedmgraceamt': 0, 'focus_spell_name': None, 'focus_min_val': None, 'focus_max_val': None}
{'id': 1002418, 'Name': 'Rose Colored Hoop of the Traveler', 'hp': 55, 'mana': 55, 'endur': 35, 'ac': 4, 'damage': 0, 'aagi': 0, 'acha': 0, 'adex': 0, 'aint': 10, 'asta': 10, 'astr': 0, 'awis': 10, 'heroic_agi': 0, 'heroic_cha': 0, 'heroic_dex': 0, 'heroic_int': 0, 'heroic_sta': 0, 'heroic_str': 0, 'heroic_wis': 0, 'cr': 0, 'dr': 0, 'fr': 0, 'mr': 0, 'pr': 0, 'heroic_cr': 0, 'heroic_dr': 0, 'heroic_fr': 0, 'heroic_mr': 0, 'heroic_pr': 0, 'attack': 0, 'haste': 0, 'regen': 0, 'manaregen': 0, 'enduranceregen': 0, 'healamt': 5, 'spelldmg': 5, 'accuracy': 0, 'avoidance': 0, 'combateffects': '0', 'damageshield': 0, 'dotshielding': 0, 'shielding': 0, 'spellshield': 0, 'strikethrough': 0, 'stunresist': 0, 'delay': 0, 'proceffect': -1, 'focuseffect': -1, 'classes': 65535, 'slots': 18, 'itemtype': 10, 'norent': 1, 'clickeffect': -1, 'elemdmgtype': 0, 'elemdmgamt': 0, 'banedmgbody': 0, 'banedmgamt': 0, 'banedmgrace': 0, 'banedmgraceamt': 0, 'focus_spell_name': None, 'focus_min_val': None, 'focus_max_val': None}
{'id': 15984, 'Name': 'Filthy Breastplate', 'hp': 0, 'mana': 0, 'endur': 0, 'ac': 20, 'damage': 0, 'aagi': 0, 'acha': 0, 'adex': 0, 'aint': 0, 'asta': 0, 'astr': 0, 'awis': 0, 'heroic_agi': 0, 'heroic_cha': 0, 'heroic_dex': 0, 'heroic_int': 0, 'heroic_sta': 0, 'heroic_str': 0, 'heroic_wis': 0, 'cr': 0, 'dr': 0, 'fr': 0, 'mr': 0, 'pr': 0, 'heroic_cr': 0, 'heroic_dr': 0, 'heroic_fr': 0, 'heroic_mr': 0, 'heroic_pr': 0, 'attack': 0, 'haste': 0, 'regen': 0, 'manaregen': 0, 'enduranceregen': 0, 'healamt': 0, 'spelldmg': 0, 'accuracy': 0, 'avoidance': 0, 'combateffects': '0', 'damageshield': 0, 'dotshielding': 0, 'shielding': 0, 'spellshield': 0, 'strikethrough': 0, 'stunresist': 0, 'delay': 0, 'proceffect': -1, 'focuseffect': -1, 'classes': 151, 'slots': 131072, 'itemtype': 10, 'norent': 1, 'clickeffect': -1, 'elemdmgtype': 0, 'elemdmgamt': 0, 'banedmgbody': 0, 'banedmgamt': 0, 'banedmgrace': 0, 'banedmgraceamt': 0, 'focus_spell_name': None, 'focus_min_val': None, 'focus_max_val': None}
